"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200606093592,3,2006/06/09,2017/04/04,ISSUED,9,2018/04/04,180000,262000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,22,1622,13,663,,22ND,AV,,,"BRADFORD GONG PING",HUANG,4156028168,"BRADFORD HUANG CONTRACTION CO",92,"VALPARAISO STREET",,"SAN FRANCISCO",CA,94133-0000,,,"REAR 3 STORY ADDITION OF A SINGLE FAMILY DWELLING. ELECTRICAL  PLUMBING & MECHANICAL UNDER SEPARATE PERMITS.",
#201402269324,2,2014/02/26,2017/04/12,ISSUED,9,2019/04/12,600000,762000,,,"2 FAMILY DWELLING",2,2,,,3,2,,20,4008,3,586,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 DWELLING UNITS BUILDING.",
#201402269324,2,2014/02/26,2017/04/12,ISSUED,9,2019/04/12,600000,762000,,,"2 FAMILY DWELLING",2,2,,,3,2,,20,4008,3,588,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 DWELLING UNITS BUILDING.",
#201402269329,2,2014/02/26,2017/04/12,ISSUED,9,2019/04/12,520000,775000,,,"2 FAMILY DWELLING",2,2,,,3,2,,11,4008,3,566,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 FAMILY DWELLING UNITS BUILDING.",
#201402269329,2,2014/02/26,2017/04/12,ISSUED,9,2019/04/12,520000,775000,,,"2 FAMILY DWELLING",2,2,,,3,2,,11,4008,3,568,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 FAMILY DWELLING UNITS BUILDING.",
#201402269331,2,2014/02/26,2017/04/04,ISSUED,9,2019/04/04,615000,1030000,,,"2 FAMILY DWELLING",2,2,,,3,2,,8,4008,3,560,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 FAMILY DWELLING UNITS BUILDING.",
#201402269331,2,2014/02/26,2017/04/04,ISSUED,9,2019/04/04,615000,1030000,,,"2 FAMILY DWELLING",2,2,,,3,2,,8,4008,3,562,,"DE HARO",ST,,,KEVIN,BRUNNER,4155187187,"K. BRUNNER & ASSOCIATES",15,21ST,AV,"SAN FRANCISCO",CA,94121-0000,,,"ERECT 3-STORY  1 BASEMENT  TYPE V  2 FAMILY DWELLING UNITS BUILDING.",
#201404173443,3,2014/04/17,2017/04/13,ISSUED,9,2019/04/13,820000,1100000,"1 FAMILY DWELLING",1,APARTMENTS,3,2,Y,2,4,1,,17,4148,27,2621,,HARRISON,ST,,,SEOSAMH,O'BRIAIN,4157409260,"ACE DRILLING & EXCAVATION",1485,"BAYSHORE BLVD NBN 178",,"SAN FRANCISCO",CA,94124-0000,,,"COVERT 2 STORY  2 BEDROOM  1 BATH RESIDENCE TO 4 STORY TRIPLEX WITH GARAGE AND LIVING SPACE AT FIRST FLOOR AND 3 FLATS AT UPPER STORIES.",
#201405216382,2,2014/05/21,2017/04/17,ISSUED,9,2019/04/17,350000,756000,,,"1 FAMILY DWELLING",1,2,,,2,0,,18,5640,10,965,,POWHATTAN,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ERECT 2 STORIES  1 BASEMENT   TYPE 5  SINGLE FAMILY DWELLING BUILDING.",
#201405216394,2,2014/05/21,2017/04/17,ISSUED,9,2019/04/17,350000,887000,,,"1 FAMILY DWELLING",1,2,,,2,0,,19,5640,10,40,,"BERNAL HEIGHTS",BL,,,,,,,,,,,,,,,"ERECT 2 STORIES  1 BASEMENT   TYPE 5  SINGLE FAMILY DWELLING BUILDING.",
#201405216395,2,2014/05/21,2017/04/17,ISSUED,9,2019/04/17,350000,836000,,,"1 FAMILY DWELLING",1,2,,,2,0,,20,5640,10,985,,POWHATTAN,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ERECT 2 STORIES  1 BASEMENT   TYPE 5  SINGLE FAMILY DWELLING BUILDING.",
#201405216396,2,2014/05/21,2017/04/17,ISSUED,9,2019/04/17,350000,790000,,,"1 FAMILY DWELLING",1,2,,,2,0,,8,5640,10,1025,,POWHATTAN,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ERECT 2 STORIES  1 BASEMENT  TYPE 5  SINGLE FAMILY DWELLING BUILDING.",
#201406188804,3,2014/06/18,2017/04/19,ISSUED,9,2018/04/19,50000,50000,"FOOD/BEVERAGE HNDLNG",1,"FOOD/BEVERAGE HNDLNG",1,2,,2,2,2,,7,5306,23,4608,,03RD,ST,,,PATRICK,REILLY,4153173731,"TRIM FIT CONSTR. - O'REILLY ENGINEERING",121,SCENIC,CT,"SAN BRUNO",CA,94066-0000,,,"CHANGE OF USE OF GROCERY TO FULL RESTAURANT. WORK INCLUDES ADA UPGRADES  STOREFRONT REPAIR/REPLACEMENT  (N) KITCHEN  2 (N) RESTROOMS  (N) STORAGE/MOP AREA & (N) EXHAUST & HEATING.",
#201406279813,2,2014/06/27,2017/04/26,ISSUED,9,2019/10/26,1350000,1473360,,,"1 FAMILY DWELLING",1,2,,,3,0,,15,3601,44,313,V,CUMBERLAND,ST,,,ANDREW,MCHALE,4156471373,"DESIGN LINE CONST INCORP",60,DORMAN,ST,"SAN FRANCISCO",CA,94124-0000,,,"ERECT 3-STORY  1 DWELLING UNIT BUILDING.",
#201406279813,2,2014/06/27,2017/04/26,ISSUED,9,2019/10/26,1350000,1473360,,,"1 FAMILY DWELLING",1,2,,,3,1,,15,3601,43,323,,CUMBERLAND,ST,,,ANDREW,MCHALE,4156471373,"DESIGN LINE CONST INCORP",60,DORMAN,ST,"SAN FRANCISCO",CA,94124-0000,,,"ERECT 3-STORY  1 DWELLING UNIT BUILDING.",
