"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200801253323,3,2008/01/25,2016/08/29,ISSUED,9,2017/08/29,25000,80000,APARTMENTS,5,APARTMENTS,5,2,Y,2,2,2,,0,3607,75,109,,LIBERTY,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"COMPLY WITH NOV 200231856   200710054748. EXCAVATE FRONT YARD TO CONSTRUCT A TWO CAR GARAGE WITH A ROOF DECK CONNECTING THE FRONT ENTRY STAIRS. RECONSTRUCT EXISTING FRONT ENTRY STAIR.",
#200904297364,3,2009/04/29,2016/08/25,ISSUED,9,2017/02/25,10000,15000,"WAREHOUSE NO FRNITUR",0,"PRKNG GARAGE/PUBLIC",0,2,,2,2,2,,7,3787,13,224,,TOWNSEND,ST,,,OSCAR,PEREZ,6502489994,"OSCAR PEREZ CONSTRUCTION",119,MURRAY,CT,"REDWOOD CITY",CA,94061-0000,,,"CHANGE USE TO S2 FROM WAREHOUSE TO PARKING GARAGE",
#201004069697,3,2010/04/06,2016/08/23,ISSUED,9,2017/08/23,76500,145000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,1,1,1,,49,6765,35,175,,MANGELS,AV,,,ALBERTO,MACCO,9258991925,MACCONSTRUCTION,3249,ROGERS,AV,"WALNUT CREEK",CA,94597-0000,,,"ALTERATION TO EXISTING SINGLE FAMILY DWELLING  INCLUDING REPLACE INTERIOR STAIR  REMODEL KITCHEN & ADDITION TO REAR INCLUDING NEW BEDROOM AND BATHROOM AND ASSOCIATED TITLE 24. ADD DORMER ABOVE STAIR.",
#201012076278,6,2010/12/07,2016/08/10,ISSUED,9,2017/02/10,4000,7500,"1 FAMILY DWELLING",1,,,2,,1,,1,,2,5406,16,220,,WILLIAMS,AV,,,"YEW KWONG CHOU",,4158221388,"L & L CONSTRUCTION DEVELOPMENT INCORPORA",200,"WILLIAMS AVE",,"SAN FRANCISCO",CA,94133,,,"DEMOLISH 1 STORY OF 1 DWELLING UNIT.",
#201012076279,2,2010/12/07,2016/08/10,ISSUED,9,2018/08/10,300000,700000,,,"1 FAMILY DWELLING",1,8,,,3,1,,6,5406,16,218,,WILLIAMS,AV,,,"YEW KWONG CHOU",,4158221388,"L & L CONSTRUCTION DEVELOPMENT INCORPORA",200,"WILLIAMS AVE",,"SAN FRANCISCO",CA,94133,,,"TO ERECT 3 STORIES  NO BASEMENT  SINGLE FAMILY DWELLING.",
#201103081595,3,2011/03/08,2016/08/30,ISSUED,9,2018/08/30,140000,550000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,5,2414,10,1257,,ULLOA,ST,,,,,,,,,,,,,,,"ADD HORIZONTAL ADDITION AT NEW BASEMENT & GROUND FLOOR. ADD NEW 3RD STORY ADDITION & REMODEL (E) BEDROOMS & ADD 1 NEW BATHROOM @ 2ND STORY & REMODEL (E). ADD NEW BEDROOM  OFFICE  BATHROOM & FAMILY ROOM TO NEW 3RD FLOOR. ENLARGE GARAGE. ""APPLY FOR SITE PERMIT.""",
#201210182397,3,2012/10/18,2016/08/02,ISSUED,9,2017/02/02,20000,1,OFFICE,5,CLINICS-MEDIC/DENTAL,5,2,,3,3,3,,5,573,4,1500,,PACIFIC,AV,,,VICTOR,HON,4153991188,"HON'S CONSTRUCTION INC.",519,GREEN,ST,"SAN FRANCISCO",CA,94133,,,"CHANGE OF USE ONLY  GROUND FLOOR for NEW ACCUPUNCTURE CENTER. (PACIFIC NEIGHBORHOOD DISTRICT). no work. (ref. TI permit 201306179713)",
#201211134129,3,2012/11/13,2016/08/25,ISSUED,9,2016/12/25,3200,3200,APARTMENTS,3,APARTMENTS,3,0,,3,3,3,,0,4108,5,714,,22ND,ST,0,,,,,,,,,,,,,,"REPLACE 4 WINDOWS (1 BEDROOM  3 BAY IN LIVING ROOM). VISIBLE FROM THE STREET. SAME SIZE.SAME LOCATION. COMPLY WITHEGRESS WINDOWS REQ'D.",
#201303071745,3,2013/03/07,2016/08/29,ISSUED,9,2018/08/29,563000,880000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2,Y,2,4,1,,20,1066,30,680,,SPRUCE,ST,,,"CAI JIN",CHEN,4159392632,"GENUINE CONSTRUCTION INC.",1,HEATHER,PL,MILLBRAE,CA,94030-0000,,,"RENOVATION OF (E) SINGLE FAM RESIDENCE TO CREATE (N) 2 FAMILY RESIDENCES VERTICAL ADDITION OF TWO ADDITIONAL STORIES 2 (N)KITCHENS  7(N) BATHS  9(N) BEDROOMS  (N) INT. STAIR TO EXTEND UP TO ROOF (N) EXT. DECKS AT 3RD AND 4TH FLOORS  (N) 2 CAR GARAGE AUTOMATIC SPRINKLER SYSTEM THRU OUT UNDER SEPARATE",
#201303182425,3,2013/03/18,2016/08/09,ISSUED,9,2018/08/09,100000,405800,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,8,1618,010A,734,,27TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL ADDITION @ REAR & 1-STORY VERTICAL ADDITION OVER (E) 2-STORY BLDG & REARRANGE KITCHEN & BATHROOM'S LOCATION. CONSTRUCT 3'-0"" HEIGHT RETAINING WALL @ BACKYARD.",
#201304255497,3,2013/04/25,2016/08/26,ISSUED,9,2017/08/26,50000,50000,APARTMENTS,3,APARTMENTS,3,2,,3,3,2,,11,947,4,2835,,BRODERICK,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMOVE (E) STAIR AT REAR OF BUILDING & REPLACE W/NEW DECK & STAIR.",
#201304255497,3,2013/04/25,2016/08/26,ISSUED,9,2017/08/26,50000,50000,APARTMENTS,3,APARTMENTS,3,2,,3,3,2,,11,947,4,2837,,BRODERICK,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMOVE (E) STAIR AT REAR OF BUILDING & REPLACE W/NEW DECK & STAIR.",
#201304255497,3,2013/04/25,2016/08/26,ISSUED,9,2017/08/26,50000,50000,APARTMENTS,3,APARTMENTS,3,2,,3,3,2,,11,947,4,2839,,BRODERICK,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMOVE (E) STAIR AT REAR OF BUILDING & REPLACE W/NEW DECK & STAIR.",
#201305207321,3,2013/05/20,2016/08/08,ISSUED,9,2017/08/08,60000,60000,"2 FAMILY DWELLING",2,APARTMENTS,3,2,,3,3,2,,6,1542,5,431,,02ND,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONVERT EXTG STORAGE TO STUDIO UNIT WITH KITCHEN. REMOVEL EXTG 1/2 BATH  ADD WINDOWS  ADD FOUNDATIONS AND WALL SHEATHING.",
#201305207321,3,2013/05/20,2016/08/08,ISSUED,9,2017/08/08,60000,60000,"2 FAMILY DWELLING",2,APARTMENTS,3,2,,3,3,2,,6,1542,5,433,,2ND,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONVERT EXTG STORAGE TO STUDIO UNIT WITH KITCHEN. REMOVEL EXTG 1/2 BATH  ADD WINDOWS  ADD FOUNDATIONS AND WALL SHEATHING.",
#201307081290,3,2013/07/08,2016/08/15,ISSUED,9,2017/08/15,100000,100000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,3,,27,1000,1,2127,,BRODERICK,ST,,,"W JEFF",MOROSO,4157771121,"MOROSO CONSTRUCTION INC",582,06TH,ST,"SAN FRANCISCO",CA,94103-0000,,,"PROJECT SCOPE INCLUDES REMOVAL OF (E) REAR YARD DECK AND EXTERIOR STAIRS TO BE REPLACED BY NEW DECK AND STAIRS.  NO PLANNED CHANGES TO (E) STREET ELEVATIONS.",
#201309066225,3,2013/09/06,2016/08/30,ISSUED,9,2017/08/30,10000,99000,"2 FAMILY DWELLING",2,APARTMENTS,3,2,,3,3,2,,5,935,24,2429,A,CHESTNUT,ST,,,,,,,,,,,,,,,"CONVERT UNIT 2429 FROM 1 UNIT INTO 2 UNITS. NO CHANGE TO UNIT 2431.",
#201309066225,3,2013/09/06,2016/08/30,ISSUED,9,2017/08/30,10000,99000,"2 FAMILY DWELLING",2,APARTMENTS,3,2,,3,3,2,,5,935,24,2429,,CHESTNUT,ST,0,,,,,,,,,,,,,,"CONVERT UNIT 2429 FROM 1 UNIT INTO 2 UNITS. NO CHANGE TO UNIT 2431.",
#201312113907,3,2013/12/11,2016/08/19,ISSUED,9,2018/08/19,600000,600000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,1,,13,3602,51,276,,HARTFORD,ST,,,DENNIS,CULLINANE,4158619200,"CULLINANE PLASTERING",114,BEULAH,ST,"SAN FRANCISCO",CA,94117-0000,,,"2 STORY OVER BASEMENT HORIZONTAL ADDITION AT THE REAR. REAR YARD PATIO EXCAVATED BELOW GRADE. INTERIOR RENOVATION & RE-PARTITIONING AT 3 FLOORS. UPGRADED PLUMBING ELECTRICAL & MECHANICAL SYSTEMS. NEW FIXTURES FINISHES & FITTINGS THROUGHOUT. LEGALIZE (E) CONDITION AS SINGLE FAMILY DWELLING.",
#201401307458,3,2014/01/30,2016/08/24,ISSUED,9,2018/08/24,150000,366500,APARTMENTS,3,APARTMENTS,3,2,Y,3,3,2,,19,1166,12,2656,,MCALLISTER,ST,0,,"MICHAEL FREDERICK",KENNEDY,4158223169,"NARROWBACK CONSTRUCTION CO.",2177,JERROLD,AV,"SAN FRANCISCO",CA,94124-0000,,,"HORIZONTAL ADDITION  RAISE BLDG APPROX 3'4""  MODIFY STREET FACADE AND ADD FRONT EXTERIOR STAIR  TO CREATE A GARAGE  REMOVE EXISTING REAR EXTERIOR STAIR & DECK  AND EXTEND BLDG INTO REAR YARD.",
#201401307458,3,2014/01/30,2016/08/24,ISSUED,9,2018/08/24,150000,366500,APARTMENTS,3,APARTMENTS,3,2,Y,3,3,2,,19,1166,12,2658,,MCALLISTER,ST,,,"MICHAEL FREDERICK",KENNEDY,4158223169,"NARROWBACK CONSTRUCTION CO.",2177,JERROLD,AV,"SAN FRANCISCO",CA,94124-0000,,,"HORIZONTAL ADDITION  RAISE BLDG APPROX 3'4""  MODIFY STREET FACADE AND ADD FRONT EXTERIOR STAIR  TO CREATE A GARAGE  REMOVE EXISTING REAR EXTERIOR STAIR & DECK  AND EXTEND BLDG INTO REAR YARD.",
#201401307462,3,2014/01/30,2016/08/23,ISSUED,9,2018/08/23,400000,495000,MANUFACTURING,0,"1 FAMILY DWELLING",1,2,,1,2,1,,11,3730,118,1117,,HOWARD,ST,,,ILYA,ZHUCHKOV,4153778122,"RELIABLE CONSTRUCTION INC",2800,34TH,AV,"SAN FRANCISCO",CA,94116-0000,,,"CHANGE OF USE. COMPLY W/ NOV 201279657  DEMO INTERIOR  CONSTRUCT 2 BEDROOMS  1-1/2 BATHS  MEDIA ROOM  KITCHEN  NEW FRONT DOOR ENTRY OFF OF HOWARD ST. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201403261777,3,2014/03/26,2016/08/01,ISSUED,9,2018/08/01,200000,733000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,4,1,,15,1416,3,225,,17TH,AV,,,"AI-REN I",LEI,4152381202,"REN LEI CONSTRUCTION CO",750,LAWTON,ST,"SAN FRANCISCO",CA,94122-0000,,,"2-STORY VERTICAL ADDITION & HORIZONTAL ADDITION AT FRONT.",
#201404244086,3,2014/04/24,2016/08/02,ISSUED,9,2017/08/02,80000,150000,APARTMENTS,5,APARTMENTS,5,2,Y,3,3,2,,6,496,015D,1583,,CHESTNUT,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"3 STORY REAR ADDITION ATTACED TO THE (E) BLDG. TO ENLARGE (E) ROOMS.",
#201404244086,3,2014/04/24,2016/08/02,ISSUED,9,2017/08/02,80000,150000,APARTMENTS,5,APARTMENTS,5,2,Y,3,3,2,,6,496,015D,1589,,CHESTNUT,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"3 STORY REAR ADDITION ATTACED TO THE (E) BLDG. TO ENLARGE (E) ROOMS.",
#201405135612,3,2014/05/13,2016/08/30,ISSUED,9,2018/08/30,760000,760000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,3,2,,11,6600,26,1559,A,CHURCH,ST,,,JOHN,DOYLE,4156379400,"DOYLE DEVELOPMENTS",1365,GREEN,ST,"SAN FRANCISCO",CA,94109-0000,,,"EXCAVATE FOR NEW BASEMENT LEVEL W/ 2 CAR GARAGE & DWELLING UNIT  RAISE EXISTING STRUCTURE  REMODEL & BUILD ADDITION TO EXPAND EXISTING DWELLING UNITS VERTICALLY & HORIZONTALLY TO SIDE & REAR YARD  MODIFY PLUMBING  MECH & ELECT SYSTEMS  FIRE SPRINKLER SYSTEM IN BOTH DWELLING UNITS UNDER SEPARATE PERM",
#201405135612,3,2014/05/13,2016/08/30,ISSUED,9,2018/08/30,760000,760000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,3,2,,11,6600,26,1559,,CHURCH,ST,,,JOHN,DOYLE,4156379400,"DOYLE DEVELOPMENTS",1365,GREEN,ST,"SAN FRANCISCO",CA,94109-0000,,,"EXCAVATE FOR NEW BASEMENT LEVEL W/ 2 CAR GARAGE & DWELLING UNIT  RAISE EXISTING STRUCTURE  REMODEL & BUILD ADDITION TO EXPAND EXISTING DWELLING UNITS VERTICALLY & HORIZONTALLY TO SIDE & REAR YARD  MODIFY PLUMBING  MECH & ELECT SYSTEMS  FIRE SPRINKLER SYSTEM IN BOTH DWELLING UNITS UNDER SEPARATE PERM",
#201405286908,1,2014/05/28,2016/08/15,ISSUED,9,2022/08/15,27000000,27000000,,,APARTMENTS,90,2,,,8,1,,51,3703,62,1075,,MARKET,ST,,,,,,,,,,,,,,,"TO ERECT 8 STORIES  1 BASEMENT OF 90 DWELLING UNITS WITH COMMERCIAL  CAR STACKER PARKING  ROOF DECK. ** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD. OF SOIL. ROUTE TO DPH **",
#201406047478,3,2014/06/04,2016/08/01,ISSUED,9,2017/08/01,90000,90000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,1,,19,6684,23,201,,LAIDLEY,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"INFILL REAR PORCH  STAIRS TO CREATE NEW LIVING SPACE.",
#201407020374,3,2014/07/02,2016/08/18,ISSUED,9,2017/08/18,60000,98000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,2,,39,1279,75,456,,BELVEDERE,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL (E) 1 098 SQ FT ATTIC TO HABITABLE SPACE & ADD (N) DORMER FACING WEST  EXTEND ROOF TO REAR WALL  (N) 3RD STORY TO CONTAIN GREAT ROOM  OFFICE  BATHROOM  CLOSET & (N) CODE COMPLIANT STAIR.",
#201407030471,3,2014/07/03,2016/08/17,ISSUED,9,2018/08/17,750000,750000,"1 FAMILY DWELLING",1,APARTMENTS,3,2,Y,2,3,2,,23,3534,20,21,,ROSEMONT,PL,,,"ERIC JOSEPH",KENNEALLY,4156817157,"KENNEALLY CONSTRUCTION",279,WAWONA,ST,"SAN FRANCISCO",CA,94127-0000,,,"RENOVATE (E) 2 STORY SINGLE FAMILY HOME TO (3) UNIT - 3 STORY BUILDING WITH (2) PARKING SPACES.",
#201407161420,3,2014/07/16,2016/08/29,ISSUED,9,2017/08/29,80000,110000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,28,955,20,2550,,BAKER,ST,,,,,,,,,,,,,,,"REPLACE (E) DORMER WINDOWS & REDUCE SIZE TO 1 DORMER & SMALL TERRACE. (E) ROOF AREA TO BE (N) ROOF TERRACE. CHANGE EAST SLOPED ROOF PROFILE  (E) ROOF HEIGHT @ TOP TO REMAIN. REPAIR UPDATE TO PLUMB/ELECTRICAL/MECH. INTERIOR FINISH. WINDOW + GLASSDOOR REPAIR W/ADDITION OF (N) WINDOWS + DOORS. REPLACE",
#201407252206,2,2014/07/25,2016/08/26,ISSUED,9,2018/08/26,500000,1518640,,,APARTMENTS,4,2,,,3,1,,14,7138,56,115,,PLYMOUTH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONSTRUCT NEW 3-STORY  4-UNIT APARTMENT.",
#201407252206,2,2014/07/25,2016/08/26,ISSUED,9,2018/08/26,500000,1518640,,,APARTMENTS,4,2,,,3,1,,14,7138,56,117,,PLYMOUTH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONSTRUCT NEW 3-STORY  4-UNIT APARTMENT.",
#201407252208,6,2014/07/25,2016/08/26,ISSUED,9,2017/02/26,10000,10000,"2 FAMILY DWELLING",2,,,0,,2,,1,,0,7138,56,115,,PLYMOUTH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"DEMOLISH 2-FAMILY DWELLING",
#201407252208,6,2014/07/25,2016/08/26,ISSUED,9,2017/02/26,10000,10000,"2 FAMILY DWELLING",2,,,0,,2,,1,,0,7138,56,117,,PLYMOUTH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"DEMOLISH 2-FAMILY DWELLING",
