APPLICATION_NUMBER,FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,ESTIMATEDCOST,REVISEDCOST,"EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
200406075743,8,2004/06/07,2004/06/07,ISSUED,9,2004/10/07,3100,3100,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,7129,40,45,,PAYSON,ST,,,,5104835444,"VIPLEX INDUSTRIES,INC/VINYL-TE",VERNA,CT,"SAN LEANDRO",CA,94577-0000,,,"REPLACE 5 WINDOWS DUAL PANE VINYL FRAME ALL ON FRONT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200406116190,8,2004/06/11,2004/06/11,ISSUED,9,2004/12/11,17500,17500,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,806,10,652,,HAYES,ST,,,EITEL,4154950653,"EITEL CONSTRUCTION","SOUTH PARK",,"SAN FRANCISCO",CA,94107-0000,,,"RENEW TO COMPLETE PROJECT PERMIT 200105108816- ADDRESS NOV 200450136                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200406297611,8,2004/06/29,2004/06/29,ISSUED,9,2004/12/29,8437,8437,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,5080,10,269,,NUEVA,AV,,,,9252452000,"SEARS HOME IMPROVEMENT PRODUCTS","E. AIRWAY BL",,LIVERMORE,CA,94550-0000,,,"INSTALL EXTERIOR SIDING AT REAR OF HOUSE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200406025288,8,2004/06/02,2004/06/02,ISSUED,9,2004/10/02,5000,5000,APARTMENTS,,APARTMENTS,6,523,55,1405,,GREENWICH,ST,6,,,,,,,,,,,,"RENEW ADM REVISE PA#200212062928 SCOPE OF WORK HAS BEEEN CHANGEDTO DELETE WORKIN APT#5. PARTIAL KITC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200406287519,8,2004/06/28,2004/06/28,ISSUED,9,2004/10/28,5000,5000,APARTMENTS,,APARTMENTS,12,842,23,677,,OAK,ST,,,,,,,,,,,"CARLOS DOMINGUEZ  40 HUMBOLT CT PACIFICA CA",,"VOLUNTARY SEISMIC UPGRADE, PER ATTACHED DRAWINGS, INSTALL ONE MOMENT FRAME (STEEL) & ONE GRADE BEAM.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
200406166566,8,2004/06/16,2004/06/16,ISSUED,9,2004/10/16,450,450,APARTMENTS,,APARTMENTS,3,105,45,331,,FILBERT,ST,0,,FISHER,6503677276,"IRWIN FISHER INC","BROADWAY #150",,"REDWOOD CITY",CA,94063-0000,,,"REV.APPL#200402035446 REPLACE (E) DECK BOARDS @ 1/F DECK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
200406166565,8,2004/06/16,2004/06/16,ISSUED,9,2004/12/16,6000,6000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,72,12,2254,,LEAVENWORTH,ST,,,,,,,,,,,HARVEY,,"CONSTRUCTION PHASE CHANGE TO WORK PRESENTLY UNDERWAY PER PA#200403017462. REMOVE SECTION OF (E) WALL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200406025285,8,2004/06/02,2004/06/02,ISSUED,9,2004/10/02,5000,5000,"FOOD/BEVERAGE HNDLNG",,"FOOD/BEVERAGE HNDLNG",112,3733,104,220,,04TH,ST,,,,4679393,"UNIVERSAL ELECTRIC/PACIFC","95 BOUTWELL STREET",*,"SAN FRANCISCO",CA,94124,,,"ADDITION OF 2 MANUAL ALARMS 2 HORN STROBES AND 1 STROBE TO EXISTING FIRE ALARM SYSTEM DEVICES ARE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
200406025286,8,2004/06/02,2004/06/02,ISSUED,9,2004/12/02,12000,12000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",,4162,10,738,,ARKANSAS,ST,,,NGUYEN,2180310,"CAL TECH  ROOFING",CARBONDALE,WY,ANTIOCH,CA,94509-0000,,,"REROOFING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
9714255S,2,1997/07/30,2004/06/15,ISSUED,9,2006/12/15,1050000,2380000,,,APARTMENTS,18,1458,14,469,,26TH,AV,,,,,,,,,,,"GARY GEE AIA, PIER 38, SF, CA 94107",4158638881,"ERECT A 4 STORY 20 UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
9714256,6,1997/07/30,2004/06/15,ISSUED,9,,,,"1 FAMILY DWELLING",,,,1458,13,463,,26TH,AV,,,,,,,,,,,"GARY GEE AIA, PIER 38,SF, CA 94107",4155419339,"DEMOLISH A ONE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
9714257,6,1997/07/30,2004/06/15,ISSUED,9,,,,"2 FAMILY DWELLING",,,,1458,15,471,,26TH,AV,,,,,,,,,,,"GARY GEE AIA PIER 38,SF, CA 94107",4158638881,"DEMOLITION OF 2 DWELLING UNITS, 2 STORIES BUILDING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
9714257,6,1997/07/30,2004/06/15,ISSUED,9,,,,"2 FAMILY DWELLING",,,,1458,15,473,,26TH,AV,,,,,,,,,,,"GARY GEE AIA PIER 38,SF, CA 94107",4158638881,"DEMOLITION OF 2 DWELLING UNITS, 2 STORIES BUILDING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
9714258,6,1997/07/30,2004/06/15,ISSUED,9,,,,"1 FAMILY DWELLING",,,,1458,14,469,,26TH,AV,,,,,,,,,,,"GARY GEE AIA PIER 38,SF,CA 94107",4158638881,"DEMOLISH 1 DWELLING UNIT, 2 STORIES BUILDING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
200406146285,8,2004/06/14,2004/06/14,ISSUED,9,2004/10/14,300,300,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,1137,22,150,,BEAUMONT,AV,,,,,,,,,,,,,"REPLACE GARAGE DOOR HEADER&TRIM.COMPLY NOV 200450550.USE INTERIM CONTROLS FOR PAINT ONSILLS&FACADE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
9811565,3,1998/06/22,2004/06/04,ISSUED,9,2004/10/04,4000,4000,"2 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6769,37,161,,JOOST,AV,,,,,,,,,,,"DELTA DESIGN 965 HOWARD ST,SF, CA 94103",,"TO REMOVE ILLEGAL KITCHEN PER COMPLAINT #9812138 & 9000835 & 9800359.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200406025283,8,2004/06/02,2004/06/02,ISSUED,9,2005/06/02,35000,35000,OFFICE,,OFFICE,0,3775,4,522,,02ND,ST,,,,,,,,,,,,,"RENEW#9808804 TO COMPLETE FOR SEISMIC RETROFIT OF UMB PER. ORDINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200406106113,8,2004/06/10,2004/06/10,ISSUED,9,2004/10/10,900,900,APARTMENTS,,APARTMENTS,4,1803,38,1369,,48TH,AV,,,,,,,,,,,,,"REPAIR REAR WOOD STAIRWAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
200406075656,8,2004/06/07,2004/06/07,ISSUED,9,2004/10/07,4000,4000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,3157,21,262,,JUDSON,AV,,,HIRSCH,4153349438,"BETTER PROPERTIES INC",PLYMOUTH,AV,"SAN FRANCISCO",CA,94112,,,"APPLY ALCOR VINYL SIDING OUTSIDE WALL OF BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
9913300S,2,1999/06/30,2004/06/23,ISSUED,9,2006/12/23,1200000,11000000,,,APARTMENTS,51,3747,12,325,,FREMONT,ST,,,,5753700,"ANGOTTI & REILLY INC",MARIPOSA,AV,"SAN FRANCISCO",CA,94107-2520,"ANGOTTI & REILLY",,"ERECT A TWENTY STORY FIFTY ONE UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
9913300S,2,1999/06/30,2004/06/23,ISSUED,9,2006/12/23,1200000,11000000,,,APARTMENTS,51,3747,13,321,,FREMONT,ST,,,,5753700,"ANGOTTI & REILLY INC",MARIPOSA,AV,"SAN FRANCISCO",CA,94107-2520,"ANGOTTI & REILLY",,"ERECT A TWENTY STORY FIFTY ONE UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
9918616,6,1999/09/03,2004/06/03,ISSUED,9,,,,"1 FAMILY DWELLING",,,,184,013B,2,,WALL,PL,,,,,,,,,,,"LOK KWAN 665-3RD ST,#330,SF,CA",4157770808,"DEMOLISH A ONE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
9918617,2,1999/09/03,2004/06/03,ISSUED,9,2006/06/03,500000,775126,,,APARTMENTS,3,184,013B,2,,WALL,PL,,,,,,,,,,,"LOK KWAN  665  3RD ST #330 SF, CA",4157770808,"ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
