"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200203191797,2,2002/03/19,2016/06/22,ISSUED,9,2018/06/22,300000,900000,,,"1 FAMILY DWELLING",1,2,,,3,1,,10,7552,23,55,,HILIRITAS,AV,,,"PATRICK JUDE MC HUGH",,4155645894,"PATRICK JUDE MC HUGH",2650,21ST,AV,"SAN FRANCISCO",CA,94116,"GABRIEL NG & ASSOCIATES",4155636655,"TO ERECT 3 STORIES  NO BASEMENT  SINGLE FAMILY DWELLING.",
#200203191800,6,2002/03/19,2016/06/22,ISSUED,9,,,15000,"1 FAMILY DWELLING",1,,,2,,2,,1,,10,7552,23,55,,HILIRITAS,AV,,,"PATRICK JUDE MC HUGH",,4155645894,"PATRICK JUDE MC HUGH",2650,21ST,AV,"SAN FRANCISCO",CA,94116,"GABRIEL NG & ASSOCIATES",4155636655,"DEMOLISH TWO STORY SINGLE FAMILY DWELLING",
#200203191802,2,2002/03/19,2016/06/22,ISSUED,9,2018/06/22,300000,900000,,,"1 FAMILY DWELLING",1,2,,,3,0,,10,7552,22,65,,HILIRITAS,AV,,,"PATRICK JUDE MC HUGH",,4155645894,"PATRICK JUDE MC HUGH",2650,21ST,AV,"SAN FRANCISCO",CA,94116,"GABRIEL NG & ASSOCIATES",4155636655,"TO ERECT 3 STORIES  NO BASEMENT  SINGLE FAMILY DWELLING.",
#200405073324,2,2004/05/07,2016/06/16,ISSUED,9,2020/03/16,1000000,2560000,,,APARTMENTS,7,2,,,5,0,,16,1202,002J,1282,,HAYES,ST,,,,,,,,,,,,,"TOPETCHEZ ARCHITECTURE",,"New 5-story residential building with 7 dwelling units and 2-car stacked parking",
#200712140534,2,2007/12/14,2016/06/15,ISSUED,9,2020/12/15,3500000,6000000,,,APARTMENTS,13,2,,,4,1,,23,1084,001B,1,,STANYAN,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 4 STORIES  NO BASEMENT  13 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.",
#201109154729,3,2011/09/15,2016/06/03,ISSUED,9,2018/06/03,1000000,1000000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,3,2,,26,5525,1,3200,,HARRISON,ST,,,JOHN,HUERTA,4158615166,"J.A.H. CONSTRUCTION CO./JOHN A HUERTA CO",325,LINDEN,ST,"SAN FRANCISCO",CA,94102,,,"COMPLETE SIESMIC UPGRADE  CONSTRUCTION OF NEW PENTHOUSE & ROOF DECK  NEW INTERIOR WALLS  FINISHES  STRUCTURAL  PLUMBING  ELECTRICAL  MECHANICAL  NEW GLAZING. REPLACEMENT OF GLAZING AT FUCADE. TWO NEW GARAGE SPACE & CURB CUT.",
#201209119426,2,2012/09/11,2016/06/09,ISSUED,9,2018/06/09,310326,437904,,,"1 FAMILY DWELLING",1,2,,,2,0,,91,7331,18,36,,SUMMIT,WY,,,"ROBERT WALTER",COMSTOCK,3105465781,"COMSTOCK CROSSER & ASSOC DEVELP CO INC.",2301,ROSECRANS,AV,"EL SEGUNDO",CA,90245-0000,,,"TYPE D - ERECT 2 STORY  TYPE 5  1 BASEMENT  SINGLE FAMILY DWELLING BUILDING.",
#201211154323,3,2012/11/15,2016/06/02,ISSUED,9,2018/06/02,575000,926046,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,4,1,,19,7536,22,561,,VALLEY,ST,,,"ADAM ROBERT",THRONE,4159440373,"THRONE BUILDERS INC",561,VALLEY,ST,"SAN FRANCISCO",CA,94131-0000,,,"REAR ADDITION  NEW DECKS  NEW BEDROOMS  FOUNDATION WORK  NEW LIVING SPACE.",
#201211194543,3,2012/11/19,2016/06/29,ISSUED,9,2018/06/29,300000,400000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,13,1588,001L,5435,,ANZA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TWO STORY REAR ADDITION & SIDE ADDITION. NEW THIRD FL W/ MEZZANINE  NEW MECHANICAL PENHOUSE  NEW BASEMENT  NEW FACADE & INTERIOR RENOVATION.",
#201309096318,3,2013/09/09,2016/06/27,ISSUED,9,2017/06/27,200,35000,"RETAIL SALES",1,"RETAIL SALES",1,2,,2,2,2,,4,3561,9,258,,NOE,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO COMPLY WITH NOV 201614031. PLANNING DEPARTMENT PUBLIC NOTIFICATION TO LEGALIZE (E) STORAGE USE AND COMMERCIAL KITCHEN. ACCESSORY TO 2298 MARKET STREET USE. ACCESSIBILITY UPGRADES FOR 20%. UPGRADE DOOR HARDWARE TO LEVER TYPE ON PATH OF TRAVEL.",
#201310250313,3,2013/10/25,2016/06/30,ISSUED,9,2017/06/30,35000,50000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,1,,18,5337,27,86,,BRIDGEVIEW,DR,,,MICHAEL,MIRANDA,4152903481,"MICHAEL E MIRANDA GENERAL CONTRACTOR",35,VENTURA,AV,"SAN FRANCISCO",CA,94116-0000,,,"CONSTRUCT NEW REAR YARD DECK (2 LEVELS  G/F & 2/F) ADD NEW MASTER BEDROOM  BATHROOM AND LANDING. INSTALL NEW GAS FIREPLACE  INSTALL ONE NEW REAR WINDOW AND 3 NEW EXTERIOR DOORS. TERMITE ROT REPAIRS.",
#201312275094,3,2013/12/27,2016/06/17,ISSUED,9,2018/12/17,4000000,4000000,OFFICE,,OFFICE,,2,,13,13,13,,164,3717,20,180,,HOWARD,ST,,,"DAVID HORTON",MEASE,5104125720,"TEAM COMMERCIAL CONSTRUCTION INC.",253,TEWKSBURY,AV,"POINT RICHMOND",CA,94801,,,"FULL BLDG INFRASTRUCTURE UPGRADES INCLUDE (N) EMERGENCY GENERATOR  FUEL PIPING TO ROOF TOP GENERATOR  SMOKE CONTR'L SYSTEMS UPGRADES  FIRE ALARM UPGRADES  EXISTING RATED CORRIDOR UPGRADES AS REQUIRED. COMPLI.  MAHER ORD. #155-13 NOT REQUIR'D.",
#201401317563,8,2014/01/31,2016/06/10,ISSUED,9,2016/12/10,21000,21000,APARTMENTS,6,APARTMENTS,6,2,,3,3,1,,3,579,25,2160,,PACIFIC,AV,5,,TIMOTHY,LOGAN,5102369934,"TALCON BUILDERS",,"P O BOX 70606",ST,RICHMOND,CA,94804-0000,,,"UNIT #5:REMODEL MASTER BATH AND BEDROOM #1 MOVE WALL APPROX 2'0"". RELOCATE SINK TOILET AND SHOWER TO REMAIN. N/A FOR THE MAHER ORDINANCE #155-13",
#201404012201,3,2014/04/01,2016/06/06,ISSUED,9,2017/06/06,100000,159000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,22,2446,43,2538,,46TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"LEGALIZE FAMILY ROOM  REAR ADDITION OF 2 FULL BATH PLAYROOM  2 BEDRMS & LAUNDRY ON GROUND FL. CONVERT (E) BEDRM TO STUDY ADD A MASTER BEDROOM W/FULL BATH ON 2ND FLR. UPDATE ELECTRICAL  PLUMBING & INSULATION. RELOCATED WATER & FURNACE. ",
#201404163402,8,2014/04/16,2016/06/09,ISSUED,9,2016/10/09,5000,5000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,,2,2,2,,1,6747,21,422,,BOSWORTH,ST,,,,,,,,,,,,,,,"FOUNDATION ADJUSTMENTS BEHIND FRONT OF BUILDING STAIRWAY TO ALLOW FOR MORE ACCESS FOR GARBAGE CANS",
#201404284336,3,2014/04/28,2016/06/15,ISSUED,9,2017/06/15,95000,107000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,11,627,50,2253,,CLAY,ST,,,MATTHEW,NEWMAN,4359010041,"AMN CONSTRUCTION",,"PO BOX 471058",,"SAN FRANCISCO",CA,94147-0000,,,"REMOVE(E)STORAGE STRUCT  STAIR & DECK @ REAR YARD. CONVERT(E)243 SQ FT UNCONDITIONED SPACE AT MECH/STORAGE INTO CONDITIONED BEDRM SUITE &(N) STAIR TO 2ND FL DWELLING UNIT. (N)322 SQ FT INFILL ADDITION UNDER(E) BEDRM @ REAR YARD. (N)ROOF DECK ABOVE INFILL ADDITION W/ NON-REQ'D EXIT SPIRAL STAIR @ REA",
#201404284378,3,2014/04/28,2016/06/02,ISSUED,9,2016/12/02,12000,12000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,6,6521,39,10,,LUCKY,ST,,,VICENTE,JIMENEZ,4156421480,"JIMENEZ CONSTRUCTION SF INC",1143,FLORIDA,ST,"SAN FRANCISCO",CA,94110-0000,,,"DRY ROT REPAIR OF REAR DECK & STAIRS TO COMPLY WITH COMPLAINT #201460616  REPLACE DECK & STAIR WITH SPIRAL.",
#201404284378,3,2014/04/28,2016/06/02,ISSUED,9,2016/12/02,12000,12000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,6,6521,39,12,,LUCKY,ST,,,VICENTE,JIMENEZ,4156421480,"JIMENEZ CONSTRUCTION SF INC",1143,FLORIDA,ST,"SAN FRANCISCO",CA,94110-0000,,,"DRY ROT REPAIR OF REAR DECK & STAIRS TO COMPLY WITH COMPLAINT #201460616  REPLACE DECK & STAIR WITH SPIRAL.",
#201405054911,1,2014/05/05,2016/06/15,ISSUED,9,2022/06/15,21000000,21000000,,,APARTMENTS,69,2,,,5,2,,78,4059,001A,825,,TENNESSEE,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 5 STORIES  1 BASEMENT  69 UNITS RESIDENTIAL WITH PARKING BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201405054911,1,2014/05/05,2016/06/15,ISSUED,9,2022/06/15,21000000,21000000,,,APARTMENTS,69,2,,,5,2,,78,4059,001B,815,,TENNESSEE,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 5 STORIES  1 BASEMENT  69 UNITS RESIDENTIAL WITH PARKING BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201406168441,2,2014/06/16,2016/06/10,ISSUED,9,2016/12/10,20000,20000,,,OFFICE,,2,,,1,2,,16,823,4,625,,STEINER,ST,,,SIDNEY,HARNETT,4158165046,"HARTNETT CONSTRUCTION",497,WILOW,CT,NOVATO,CA,94945-0000,,,"ERECT NEW OFFICE/CONFERENCE",
#201407171470,3,2014/07/17,2016/06/23,ISSUED,9,2016/12/23,20000,20000,APARTMENTS,4,APARTMENTS,4,2,Y,3,3,2,,23,2612,14,2362,,15TH,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REVISION TO APPROVED PA# 2010/09/10/0673 PENTHOUSE ACCESS. NEW ROOF PENTHOUSE & ACCESS & NEW DECK.",
#201407171470,3,2014/07/17,2016/06/23,ISSUED,9,2016/12/23,20000,20000,APARTMENTS,4,APARTMENTS,4,2,Y,3,3,2,,23,2612,14,2368,,15TH,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REVISION TO APPROVED PA# 2010/09/10/0673 PENTHOUSE ACCESS. NEW ROOF PENTHOUSE & ACCESS & NEW DECK.",
#201407171522,3,2014/07/17,2016/06/13,ISSUED,9,2016/12/13,6000,15000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2,,2,2,1,,20,6994,39,468,,VERNON,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"(UNIT LEGALIZATION ORD 43-14 )CONVERT (E) STORAGE SPACE IN APP #200012047067 TO A NEW KITCHEN & INSTALL(N) COUNTER W/CABINET WET SINK STOVE REFRIGERATOR ON G/F; LEGALIZE(E)DOOR FROM GARAGE TO(E)STORAGE RM TO THE FIRE RATED DOOR TO ADD(N)2ND UNIT; CLEAR COMPLAINT NO.201472581; ILLEGAL UNIT COMPLAINT",
#201407282260,3,2014/07/28,2016/06/21,ISSUED,9,2017/06/21,219536,219536,APARTMENTS,139,APARTMENTS,138,2,,37,37,1,,4,3706,251,765,,MARKET,ST,1,E,CLIF,SHOOLROY,4155812600,"THOMPSON BROOKS INC.",151,VERMONT,ST,"SAN FRANCISCO",CA,94103-0000,,,"TO MERGE UNITS PHIE & PHIF. INTERIOR RENOVATION FOR A NEW MASTER BEDROOM  MASTER BATH  WALK IN CLOSET  EXERCISE NOOKS & STORAGES.",
#201407282260,3,2014/07/28,2016/06/21,ISSUED,9,2017/06/21,219536,219536,APARTMENTS,139,APARTMENTS,138,2,,37,37,1,,4,3706,252,765,,MARKET,ST,1,F,CLIF,SHOOLROY,4155812600,"THOMPSON BROOKS INC.",151,VERMONT,ST,"SAN FRANCISCO",CA,94103-0000,,,"TO MERGE UNITS PHIE & PHIF. INTERIOR RENOVATION FOR A NEW MASTER BEDROOM  MASTER BATH  WALK IN CLOSET  EXERCISE NOOKS & STORAGES.",
#201409186645,8,2014/09/18,2016/06/22,ISSUED,9,2017/06/22,25000,37000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,7,1901,40,1630,,43RD,AV,,,PATRICK,HENNESSY,4157536849,"HENNESSY CONSTRUCITON",1630,43RD,AV,"SAN FRNACISCO",CA,94122-0000,,,"PROPOSED REBUILD EXISTING STAIRS FROM 2/F TO G/F  INSTALL BEDROOM  BATHROOM AND FAMILY ROOM AT GROUND FLOOR.",
#201409196757,3,2014/09/19,2016/06/16,ISSUED,9,2016/10/16,1,1,OFFICE,0,APARTMENTS,23,2,,3,3,,,3,857,1,229,,HAIGHT,ST,,,SCOTT,BRAUNINGER,4155195180,"BUILD GROUP INC.",457,MINNA,ST,"SAN FRANCISCO",CA,94103-0000,,,"FINAL BELOW MARKET RATE UNIT LOCATION AND NOTICE OF SPECIAL RESETRICTIONS RECORDATION. FOR RECORD PURPOSES ONLY. NO WORK.",
#201409247253,3,2014/09/24,2016/06/01,ISSUED,9,2018/06/01,180000,310000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,39,7520,1,1600,,DIAMOND,ST,,,"ANNE MARIE",MULLAN,4158500105,"MULLAN ENTERPRISES INC",723,"87TH STREET",,"DALY  CITY",CA,94015-0000,,,"INTERIOR REMODEL. HORIZONTAL ADDITION UNDER EXISTING OVERHANG SPACE AS GAMEROOM.  REMOVE EXTG FIRE PLACE AND FLUE. ADD NEW WINDOWS AND DOORS. NEW  REAR DECK.",
#201410038023,2,2014/10/03,2016/06/22,ISSUED,9,2018/06/22,330000,400000,,,"1 FAMILY DWELLING",1,2,,,2,0,,14,3116,006A,410,V,HEARST,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 2 STORIES OF 1 FAMILY DWELLING",
#201410068160,3,2014/10/06,2016/06/07,ISSUED,9,2018/06/07,460000,900000,APARTMENTS,4,APARTMENTS,4,2,Y,3,3,3,,20,566,10,2012,,BROADWAY,*,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL ADDTION AT REAR AT ALL FLOORS  INCLUDING BASEMENT  REMODEL OF EXISTING INTERIORS  NEW STAIR ENCLOSURE ON EAST FACADE  MODIFICATION OF PITCHED ROOF TO FLAT ROOF.",
#201410169154,1,2014/10/16,2016/06/22,ISSUED,9,2018/12/22,1000000,1750000,,,APARTMENTS,5,2,,,4,1,,22,6506,32,4171,,24TH,ST,,,,,,,,,,,,,,,"CONSTRUCT NEW 4 STORIES  1 BASEMENT  5 UNITS MULTI-FAMILY RESIDENCE.",
#201412032917,3,2014/12/03,2016/06/24,ISSUED,9,2017/06/24,15000,60000,APARTMENTS,4,"2 FAMILY DWELLING",2,2,Y,3,3,2,,32,777,11,1164,,FULTON,ST,,,JOHN,CONOMOS,4153530770,"DROMHUS INC.",807,FRANKLIN,ST,"SAN FRANCISCO",CA,94102-0000,,,"REVISION TO PERMIT NO. 201305318304; CHANGE CONSISTS OF TWO PARTS: NEW FANESTRATION @ REAR FACADE  ADDITION OF ELEVATOR PENTHOUSE.",
#201412032975,3,2014/12/03,2016/06/13,ISSUED,9,2017/06/13,185000,185000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,47,4219,41,1127,,CAROLINA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ADD A MASTER SUITE + SMALL DECK AS A THIRD FLOOR ADDITION TO AN EXISTING TWO STORY SINGLE FAMILY RESIDENCE INCLUDING NEW INTERNAL STAIR & EXTERNAL ROOF DECK.",
#201412043048,3,2014/12/04,2016/06/06,ISSUED,9,2018/06/06,750000,750000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,4,4,3,,11,1367,21,4506,,CALIFORNIA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"COMPLETE INTERIOR REMODEL. HORIZONTAL ADDITION AT SIDES & REAR. ROOF DECK OVER 4TH LEVEL. TO ADD LIVING SPACE (CONDITIONED/HABITABLE)  GROUND & 2ND LEVELS= LOWER UNIT. 3RD + 4TH LEVELS= UPPER UNIT. 4 STORY ELEVATOR. EXCAVATION @ BEHIND GARAGE. ",
#201412043048,3,2014/12/04,2016/06/06,ISSUED,9,2018/06/06,750000,750000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,4,4,3,,11,1367,21,4508,,CALIFORNIA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"COMPLETE INTERIOR REMODEL. HORIZONTAL ADDITION AT SIDES & REAR. ROOF DECK OVER 4TH LEVEL. TO ADD LIVING SPACE (CONDITIONED/HABITABLE)  GROUND & 2ND LEVELS= LOWER UNIT. 3RD + 4TH LEVELS= UPPER UNIT. 4 STORY ELEVATOR. EXCAVATION @ BEHIND GARAGE. ",
#201412053112,3,2014/12/05,2016/06/07,ISSUED,9,2018/06/07,600000,600000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,4,2,,21,6634,25,155,,29TH,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION. ADD 1-BEDROOM & 3-BATH IN UNIT 1; ADD 1- BEDROOM & 3-BATH IN UNIT 2. MECH  ELEC  PLUMBING & FIRE SPRINKLER UNDER SEPARATE PERMIT.",
#201412053112,3,2014/12/05,2016/06/07,ISSUED,9,2018/06/07,600000,600000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,4,2,,21,6634,25,157,,29TH,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION. ADD 1-BEDROOM & 3-BATH IN UNIT 1; ADD 1- BEDROOM & 3-BATH IN UNIT 2. MECH  ELEC  PLUMBING & FIRE SPRINKLER UNDER SEPARATE PERMIT.",
#201412123652,2,2014/12/12,2016/06/03,ISSUED,9,2018/06/03,850000,1674408,,,"2 FAMILY DWELLING",2,2,,,4,1,,19,1067,9,37,,BLAKE,ST,0,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONSTRUCT NEW 4-STORY  1 BASEMENT  TYPE 5-A  2-UNITS RESEDENTIAL BLDG.",
#201412123658,6,2014/12/12,2016/06/03,ISSUED,9,2017/06/03,40000,40000,"1 FAMILY DWELLING",1,,,2,,1,,1,,19,1067,9,37,,BLAKE,ST,0,,,,,,,,,,,,,,"DEMOLISH 1 STORY  SINGLE FAMILY RESIDENCE.",
#201412194144,3,2014/12/19,2016/06/29,ISSUED,9,2018/12/29,4750000,4750000,"TOURIST HOTEL/MOTEL",101,"TOURIST HOTEL/MOTEL",101,2,,24,24,0,,78,311,16,690,,MARKET,ST,101,,"JOSEPH PATRICK CASSIDY",,6508769400,"CENTRIX BUILDERS INC.",160,"SOUTH LINDEN AVE  STE 100",,"SOUTH SAN FRANCISCO",CA,94080-0000,,,"CONSTRUCT DEMISING WALLS FOR 5 DWELLING UNITS & INTERIOR FIT-OUT @ 2ND FLOOR. 5TH FLR: CONVERT 5 HOTEL SUITES TO 5 DWELLING UNITS & NEW FINISHES. 7TH FLR: CONVERT 4 HOTEL SUITES TO 4 DWELLING UNITS & NEW FINISHES. 9TH FLR: CONVERT  5 HOTEL SUITES TO 5 DWELLING UNITS & NEW FINISHES.",
#201412194190,2,2014/12/19,2016/06/30,ISSUED,9,2018/06/30,550000,670000,,,"1 FAMILY DWELLING",1,2,,,3,1,,28,1383,4,127,,23RD,AV,,,"EAMON PAUL",O'SHAUGHNESSY,4154305876,"O'SHAUGHNESSY CONSTRUCTION",1414,20TH,AV,"SAN FRANCISCO",CA,94122-0000,,,"CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.",
#201412194194,6,2014/12/19,2016/06/30,ISSUED,9,2016/12/31,10000,10000,"1 FAMILY DWELLING",1,,,2,,1,,1,,24,1383,4,127,,23RD,AV,,,"EAMON PAUL",O'SHAUGHNESSY,4154305876,"O'SHAUGHNESSY CONSTRUCTION",1414,20TH,AV,"SAN FRANCISCO",CA,94122-0000,,,"DEMOLISH 1-STORY SINGLE FAMILY RESIDENCE.",
#201412234438,3,2014/12/23,2016/06/01,ISSUED,9,2017/06/01,50000,100000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,1,,26,1045,4,545,,LAUREL,ST,,,HUBERT,PENNY,4152445531,"HUBERT PENNY",3,"MIRA VISTA",CT,"DALY CITY",CA,94014-0000,,,"PROJECT PROPOSE HORIZONTAL EXTENSION OF THE (E) SECOND FLR OF A SINGLE FAMILY RESIDENCE. NEW ADDITION TO INCLUDE NEW MASTER BEDROOM & BATHROOM.",
