"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200804038737,6,2008/04/03,2016/03/17,ISSUED,9,2016/07/17,5000,5000,"1 FAMILY DWELLING",1,,,0,,1,,1,,0,4218,36,1321,,"DE HARO",ST,,,DENNIS,CULLINANE,4158619200,"CULLINANE PLASTERING",114,BEULAH,ST,"SAN FRANCISCO",CA,94117-0000,,,"DEMOLISH A ONE STOREY ONE FAMILY DWELLING UNIT",
#200804038738,2,2008/04/03,2016/03/17,ISSUED,9,2018/03/17,425000,900000,,,"2 FAMILY DWELLING",2,2,,,3,1,,48,4218,36,1321,,"DE HARO",ST,,,DENNIS,CULLINANE,4158619200,"CULLINANE PLASTERING",114,BEULAH,ST,"SAN FRANCISCO",CA,94117-0000,,,"ERECT NEW 3-STORY  2-FAMILY DWELLING UNITS  * This project has been extensively revised to be only a 2-FAMILY RESIDENCE (R3  NOT R2). MJ 3/10/14",
#201207054119,3,2012/07/05,2016/03/16,ISSUED,9,2016/09/16,20000,180060,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,19,5723,4,518,,ANDERSON,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"KITCHEN & BATH REMODELING  VOLUNTARY STRUCTURAL UPGRADE UNDER KITCHEN & SUN ROOM. REPLACEMENT OF A REAR STAIRWAY. BEDRM #3  BATHRM #2 & LAUNDRY AT GROUND FLOOR.",
#201306119238,3,2013/06/11,2016/03/07,ISSUED,9,2016/09/07,15000,18000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,4,2851,14,237,,GLENVIEW,DR,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO COMPLY WITH NOV #201290533. WOOD FRAME GREEN HOUSE OF GLASS ROOF AND SIDES AND AN AJACENT DECK ON THE EXISTING ROOF.  PROPOSED GREEN HOUSE ADDTION.  130 SQ FT.",
#201307192323,3,2013/07/19,2016/03/30,ISSUED,9,2016/09/30,5100,31000,"FOOD/BEVERAGE HNDLNG",0,"FOOD/BEVERAGE HNDLNG",0,2,,2,2,2,,14,340,16,181,,EDDY,ST,,,,,,,,,,,,,,,"INTERIOR MODIFICATIONS TO RESOLVE FIRE CODE ISSUE ON 2ND FLOOR OF 2 STORY BUILDING. THE LOCATION IS THE 2ND FLR OF A 2 STORY COMMERCIAL BUILDING IN THE TENENDERLOIN DEST. OF S.F. ALL WORK IS WITHIN THE BUILDING INTERIOR  NO ALTERATION TO THE FACADES ARE INVOLVED.",
#201308094004,3,2013/08/09,2016/03/04,ISSUED,9,2018/03/04,120000,395246,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,11,1824,18,1483,,29TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"PROPOSE TO CONSTRUCT A NEW 3/F TO (E) TWO STORY BLDG  ADDITION CONSISTS OF MASTER BEDROOM  MASTER BATH  TWO BEDROOMS AND BATH  ALSO ROOF DECK AT 3RD FLOOR",
#201309126709,3,2013/09/12,2016/03/30,ISSUED,9,2017/03/30,13000,42000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,3,3,2,,10,955,2,2655,,BRODERICK,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO COMPLY NOV 201168973. LEGALIZE 425 SF ROOF DECK. STAIR PENTHOUSE. MODIFY PARAPET/GUARDRAIL TO 42' HEIGHT & ENSURE 1-HR CONSTRUCTION.",
#201311010898,8,2013/11/01,2016/03/08,ISSUED,9,2017/03/08,85000,85000,CLINICS-MEDIC/DENTAL,,CLINICS-MEDIC/DENTAL,,2,,2,2,2,,4,345,15,333,,TURK,ST,,,,,,,,,,,,,,,"REPAIR OF SPALLED CONCRETE WALL  RE-POINTING OF BRICK MORTAR CHIMNEY  AND PAINTING. INFILL EXTG SKYLIGHT AND RE ROOF  INSTALL BIRD NETTING.",
#201311071431,6,2013/11/07,2016/03/18,ISSUED,9,2017/03/18,157000,157000,OFFICE,0,,,2,,3,,0,,1,28,14,1255,,COLUMBUS,AV,,,RAYMOND,TONG,4089359233,"PACIFIC GENERAL CONSTRUCTION",1150,"CADILLAC COURT",,MILIPITAS,CA,95035-0000,,,"TO DEMOLISH 3 STORIES COMMERCIAL BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201311071431,6,2013/11/07,2016/03/18,ISSUED,9,2017/03/18,157000,157000,OFFICE,0,,,2,,3,,0,,1,28,14,1275,,COLUMBUS,AV,,,RAYMOND,TONG,4089359233,"PACIFIC GENERAL CONSTRUCTION",1150,"CADILLAC COURT",,MILIPITAS,CA,95035-0000,,,"TO DEMOLISH 3 STORIES COMMERCIAL BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201311222689,3,2013/11/22,2016/03/07,ISSUED,9,2018/03/07,417843.87,840000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,4,1,,18,2701,32,4555,,19TH,ST,,,"HUAN THE",NGUYEN,4083188316,"HTN CONSTRUCTION",3723,MARCHANT,DR,"SAN JOSE",CA,95127-0000,,,"HORIZ & VERT ADDITION  BASEMENT BLD OUT & FULL REMODEL TO (E) 1 FAM DWG  REMOVE & REPLACE (E) SLAB & STRUCTURE AT BASEMT  INFILL(E) LIGHTWELL  CONVERT UN-CONDITIONED SPACE TO HABITABLE SPACE  EXTEND(E) 2 STORY STRUCTURE TO REAR SET BACK LINE  EXCAVATE AND GRADE (E) REAR YARD  ADD 2(N) STORIES ",
#201311262885,3,2013/11/26,2016/03/04,ISSUED,9,2017/03/04,30000,30000,THEATER,,THEATER,,2,,5,5,1,,10,316,001A,415,,GEARY,ST,,,JUSTIN,BALOUGH,9258495324,"ELECTRIC TECH CONSTRUCTION INC",1910,MARK,CT,CONCORD,CA,94520-0000,,,"Compliance w/ord. #155-13 not required. Excavation less than 50 cu yd MODIFICATION TO (E) AT&T WIRELESS FACILITY INCLUDING REMOVING & REPLACING 7 (E) ANTENNAS W/ (N) ANTENNAS OF SIMILAR DIMENSION. ALSO ADDING 2 (N) RRUs NEAR ANTENNAS.",
#201312315413,3,2013/12/31,2016/03/02,ISSUED,9,2018/03/02,520000,950000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,2,,91,7542,11,21,,EVERSON,ST,,,ANDREW,MCHALE,4156471373,"DESIGN LINE CONST INCORP",60,DORMAN,ST,"SAN FRANCISCO",CA,94127-0000,,,"HORIZ EXTENSION AT REAR OF + (N) 3RD STORY ADDITION TO (E) S.F.R. RENOVATE LIVING SPACES AT 1ST & 2ND FLOORS (N) LAUNDRIES  BATHRMS  DECKS (N) WINDOWS & DOORS (N) INTERIOR STAIR PLUM/ELECT WK AT ALL FLRS. STRUCT. UPGRADE AS NECESSARY 1/F: 2 BTHRMS  NEW  2/F: R/R 2 BATHRMS",
#201401236934,3,2014/01/23,2016/03/15,ISSUED,9,2017/03/15,40000,40000,APARTMENTS,27,APARTMENTS,27,2,,7,7,6,,13,1780,44,1300,,26TH,AV,,,CHAD,MATHISEN,7074709054,"SLC INC",871,COTTING,CT,VACAVILLE,CA,95688-0000,,,"UNMANNED TELECOM WIRELESS FACILITY  3 (E) VERIZON WIRELESS PANEL ANTENNAS TO BE REMOVED. 3 NEW ANTENNAS TO BE INSTALLED. 3 NEW RRUS12  2 NEW RAYCAP SURGE PROTECTOR. 1 NEW HYBRID CABLE. ADD 2 - 4"" & CABLE ENTRY PORT.",
#201401317505,3,2014/01/31,2016/03/17,ISSUED,9,2016/09/17,10000,15000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,3,,15,3620,15,3652,,22ND,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ROOF CHANGE FROM SHED TO FLAT ROOF AT THE REAR YARD EXTENSION. THE FLOOR AT THIS AREA WILL BE RAISED & WINDOWS & DOORS MODIFIED / OR REPLACED.",
