"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200407027962,2,2004/07/02,2017/05/24,ISSUED,9,2019/05/24,350000,860900,,,"1 FAMILY DWELLING",1,2,,,3,0,,6,4964,19,870,,INGERSON,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,"LINCOLN LUE",4156655623,"ERECT 1 DWELLING UNIT OF 3 STORIES.",
#201210293044,3,2012/10/29,2017/05/04,ISSUED,9,2018/05/04,50000,280000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,16,6912,29,165,,CERRITOS,AV,,,TIE,LIU,6505529883,"T J CONSTR INC***CK ID TIE LIU ONLY*****",240,WILLOW,AV,MILLBRAE,CA,94030-0000,,,"CONSTRUCT 2 STORY REAR ADDITION.  CONVERT GARAGE TO HABITABLE LIVING SPACE.",
#201304094098,3,2013/04/09,2017/05/10,ISSUED,9,2018/05/10,80000,280000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2,Y,1,2,1,,4,5980,3,208,,GIRARD,ST,,,"HIN CHUNG",HO,4152866201,"H CONSTRUCTION CO",,"P.O.BOX 347303",,"SAN FRANCISCO",CA,94134-0000,,,"2 STORY HORIZONTAL ADDITION. 682 SQ. FT. @ 2ND FLOOR & 672 AT 1ST FLOOR. RAISE (E) HOUSE 2' & ADD NEW 615 SQ. FT. BASEMENT GARAGE. ADD 3 BEDROOMS  2 STUDY  3 NEW BATHROOMS  1 KITCHEN & 1 LIVING ROOM.",
#201309045876,3,2013/09/04,2017/05/10,ISSUED,9,2019/05/10,175000,510000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,3,,20,1353,29,58,,06TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"KITCHEN REMODEL  BATHROOM REMODEL  REAR / SIDE ADDITION.",
#201312305291,3,2013/12/30,2017/05/12,ISSUED,9,2019/05/12,750000,3307800,"WAREHOUSE NO FRNITUR",0,THEATER,0,2,,1,1,1,,55,4357,3,900,,MARIN,ST,,,"KEVIN GREGORY",BORN,4154220881,"ASHBURY QUALITY CONSTRUCTING & ENGINEERI",40,"12TH STREET",,"SAN FRANCISCO",CA,94103-0000,,,"INTERIOR TENANT IMPROVEMENT OF EXTG WAREHOUSE INTO  CONCERT VENUE LOUNGE  INDUSTRIAL KITCHEN  OFFICES  ARTIST SPACE  A CAFE  OFFICES THAT ARE ACCESSARY TO THE OTHER USES. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",
#201406067695,2,2014/06/06,2017/05/10,ISSUED,9,2019/11/10,1200000,1800000,,,APARTMENTS,3,2,,,4,1,,15,2408,1,701,,TARAVAL,ST,,,"DENNIS DA",LIU,4157598889,"H D CONSTRUCTION COMPANY",1209,VICENTE,ST,"SAN FRANCISCO",CA,94116-0000,,,"ERECT 4 STORY 3 UNITS CONDO  NO BASEMENT & COMMERCIAL BUILDING.",
#201406067697,6,2014/06/06,2017/05/10,ISSUED,9,2017/09/10,5000,5000,"DRY CLEANERS",0,,,0,,1,,1,,0,2408,1,701,,TARAVAL,ST,,,"DENNIS DA",LIU,4157598889,"H D CONSTRUCTION COMPANY",1209,VICENTE,ST,"SAN FRANCISCO",CA,94116-0000,,,"DEMOLISH ONE STORY  TYPE 5-B  COMMERCIAL DRY CLEANER BUILDING.",
#201410179270,3,2014/10/17,2017/05/18,ISSUED,9,2018/05/18,296099,296099,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,13,4096,28,1,,"SOUTHERN HEIGHTS",AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"RENOVATION OF SINGLE FAMILY. REMODEL OF LIVING  FAMILY  BATHS & 2ND FL BEDROOMS. RELOCATE KITCHEN & DINING ROOM TO GROUND FLOOR. ADDITION OF ENTRY POWDER ROOM. NEW INTERIOR STAIR. REMODEL 3RD FL MASTER BEDRM & BATH. NEW OFFICE EXPANSION @ 3R FL WITH NEW REAR DECK. NEW ROOF DECK WITH STAIR PENTHOUSE.",
#201412042987,3,2014/12/04,2017/05/04,ISSUED,9,2019/05/04,650000,650000,CLINICS-MEDIC/DENTAL,1,CLINICS-MEDIC/DENTAL,1,2,Y,2,3,2,,18,1275,32,370,,PARNASSUS,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"(E)MEDICAL OFFICE REMODEL: CREATE ACCESSIBLE ENTRANCE BY LOWERING GROUND FL TO PARNASSUS ST LEVEL; ADD ACCESSIBLE RESTRM; RELOCATE OFFICE USE FROM BASEMENT TO GROUND FL W/ EXPANSION TO REAR & FRONT. (E) DWELLING REMODEL & ADDITION: EXPAND BASEMENT TO 25% REAR YARD LINE; RELOCATE GARAGE ENTRANCE TO",
#201412163844,3,2014/12/16,2017/05/12,ISSUED,9,2018/05/12,45000,92000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,23,1820,42,1418,,34TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"VERTICAL ADDITION  NEW BEDROOM & NEW BATHROOM.",
#201412173930,3,2014/12/17,2017/05/02,ISSUED,9,2018/05/02,125000,125000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,1,1,1,,13,5612,57,5,,WINFIELD,ST,,,"BLAIR BURKE",,4157101571,"BLAIR BURKE GEN CONTR",200,TALMALPAIS,RD,FAIRFAX,CA,94930,,,"HORIZONTAL ADDITION. EXPAND LIVING TO FRONT SETBACK  (N) MASTER SUITE WITH BATH  (N) ROOF ",kf21&
#201412294596,8,2014/12/29,2017/05/02,ISSUED,9,2018/05/02,20000,30000,APARTMENTS,8,APARTMENTS,8,2,,4,4,3,,6,1759,49,750,,PARNASSUS,AV,0,,"JAMES PATRICK"," GALLAGHER",4157605197,"ACHILL BEG CONSTRUCTION INC",865,DUNCAN,ST,"SAN FRANCISCO",CA,94131-0000,,,"SOFT STORY RETROFIT PER IEBC CHAPTER 4D  2012 IEBC APPENDIX A-4.",
#201501226397,3,2015/01/22,2017/05/02,ISSUED,9,2018/05/02,150000,159400,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,2,,12,2970,23,160,,CASITAS,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL EXTENSION ON 2ND FLR  IN-FILL LOWER LEVEL PER PLAN. BASEMENT FLR: 1 BATH  1 GREAT ROOM  1 STORAGE  2 CLOSETS  INTERIOR STAIR. 1ST FLR: ENLARGE DECK. 2ND FLR: 1 LIVING ROOM  1 ROOF DECK.",
#201502138349,2,2015/02/13,2017/05/12,ISSUED,9,2019/11/12,1125000,1500000,,,APARTMENTS,4,2,,,6,2,,24,3642,41,854,,CAPP,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 6 STORIES  NO BASEMENT  TYPE VA  4 UNITS RESIDENTIAL BUILDING.",
#201502138358,6,2015/02/13,2017/05/12,ISSUED,9,2017/11/12,10000,10000,"1 FAMILY DWELLING",1,,,2,,2,,2,,24,3642,41,854,,CAPP,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"DEMOLISH SINGLE FAMILY DWELLING RESIDENCE",
#201503060214,3,2015/03/06,2017/05/10,ISSUED,9,2018/05/10,200000,200000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2,Y,2,3,1,,7,1582,001B,611,,39TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"GROUND FL PARTIAL GARAGE AREA CONVERSION TO livable space ATTIC ROOF PORTION (15'-0"") SETBACK. ADD DORMERS (2) & STAIRWELLS+ REAR YARD DECK. + EXTERIOR STAIRS.",
#201503251848,3,2015/03/25,2017/05/09,ISSUED,9,2019/05/09,275000,350000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,75,513,009B,2462,,FILBERT,ST,,,JOHN,SCOTT,4153339100,"SCOTT & WARNER BUILDERS INC",,"P.O.BOX 96",,SAUSALITO,CA,94966-0000,,,"HORIZONTAL ADDITION @ REAR FACADES @ BASEMENT  1ST & 2ND FLOOR. NEW EXTERIOR STAIR @ REAR YARD FROM 2ND FLOOR TO YARD. EXTEND ELEVATOR TO (E) ROOF DECK. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED. ROUTE TO DPH **",
#201504072959,3,2015/04/07,2017/05/04,ISSUED,9,2018/05/04,20000,88820,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2,,2,2,1,,2,2357,003A,2355,,28TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"LEGALIZATION OF 2ND DWELLING UNIT INSTALLED WITHOUT PERMIT ON GROUND FLOOR PER UNIT LEGALIZATION ORDINANCE 43-14.",
#201504093248,3,2015/04/09,2017/05/04,ISSUED,9,2018/05/04,100000,250000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,14,2140,004B,2031,,20TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION. 1ST FLOOR: 2 BEDROOMS  1 KITCHEN  1 LIVING ROOM. 2ND FLOOR: 2 BEDROOMS  1 BATHROOM  1 FAMILY ROOM. 3RD FLOOR: 2 BEDROOMS 2 BATHS  1 GREAT ROOM  1 ROOF DECK.",
#201506048069,3,2015/06/04,2017/05/05,ISSUED,9,2018/05/05,80000,135000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,1,,22,6461,23,17,,CONCORD,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL GROUND FLOOR OF EXISTING 2 STORY SINGLE FAMILY HOUSE AND 2 STORY EXTENSION TO THE REAR - (1 MASTER BEDROOM ON THE GROUND FLOOR  TWO BEDROOMS AND 1 BATHROOM ON THE UPPER FLOOR)(MAHER ORDINANCE EXTENDED ORDINANCE NO.155-13 NOT REQUIRED)",
#201507070839,3,2015/07/07,2017/05/10,ISSUED,9,2019/05/10,175357,449000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,10,6555,47,409,,CLIPPER,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"PARTIAL INTERIOR RENOVATION. CONVERT 3RD FL ATTIC TO LIVING SPACE  THREE BEDROOMS + TWO BATHS. REBUILD FRONT STAIR & MOVE FORWARD TOWARD FRONT PROPERTY LINE 3'-0"". LOWER (E) BASEMENT FLR APPROX. 3'-0"".",
#201507070844,3,2015/07/07,2017/05/10,ISSUED,9,2019/05/10,457319,647300,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,23,950,34,2729,,UNION,ST,,,MIKE,SHANKMAN,4156751775,"NOA CONSTRUCTION LLC",2427,17TH,ST,"SAN FRANCISCO",CA,94110-0000,,,"DEMO OF EXISTING WALL  WINDOW  DOOR  FINISHES & FIXTURES  CONST OF REAR ADDITION ALL FLOORS & ROOF DECK AT REAR OF 2ND FL. EXTERIOR WORK NEW WINDOWS  DOOR AND FINISHES. BUILDING TO BE EQUIPED W/ FULL AUTOMATIC SPRINKLER SYSTEM.",
#201507070844,3,2015/07/07,2017/05/10,ISSUED,9,2019/05/10,457319,647300,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,23,950,34,2731,,UNION,ST,,,MIKE,SHANKMAN,4156751775,"NOA CONSTRUCTION LLC",2427,17TH,ST,"SAN FRANCISCO",CA,94110-0000,,,"DEMO OF EXISTING WALL  WINDOW  DOOR  FINISHES & FIXTURES  CONST OF REAR ADDITION ALL FLOORS & ROOF DECK AT REAR OF 2ND FL. EXTERIOR WORK NEW WINDOWS  DOOR AND FINISHES. BUILDING TO BE EQUIPED W/ FULL AUTOMATIC SPRINKLER SYSTEM.",
#201507222200,3,2015/07/22,2017/05/30,ISSUED,9,2019/05/30,500000,500000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,14,1717,47,3229,,LINCOLN,WY,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TWO STORY BUILDING VERTICAL & HORIZONTAL ADDITION. 1ST FLR: 2 BEDROOMS  1 BATHROOM. 1 FAMILY RMS  FOYER  WET BAR. 2ND FLR: RELOCATE 2 BEDRMS  ADD 1 CLOSET  RELOCATE 2 CLOSETS ADD 1 BATH  STAIRS  REMODEL KITCHEN. 3RD FLR: ADD 2 BEDROOMS  ADD 1 CLOSETS  RELOCATE 2 CLOSETS  ADD 1 BATH  KITCHEN  STAIRS.",
