"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#201111158939,3,2011/11/15,2016/11/23,ISSUED,9,2018/11/23,196000,396608,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,2,,24,631,9,2604,,SACRAMENTO,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"1/F: REMODEL (E) POWDER RM  KITCHEN DINING RM & LIVING RM. ADD NEW SUN RM. REBUILD (E)INTERIOR STAIRCASE. ADD NEW EXTERIOR STAIRCASE UP TO NEW ROOF DECK. 2/F: ENLARGE(E)BEDRMS. ADD NEW BATHRM & ROOF DECK. BASEMENT: EXTEND(E)GARAGE TO ALLOW FOR 2 CARS PARKED IN TANDEM LAYOUT. N/A FOR MAHER ORDINANC  ",
#201309177050,3,2013/09/17,2016/11/01,ISSUED,9,2017/11/01,60000,315000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,3,2,,19,944,021A,2545,,GREENWICH,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION. NEW DECK. 1 MASTER BEDROOM. FAMILY ROOM & MASTER BATHROOM.",
#201310229927,3,2013/10/22,2016/11/02,ISSUED,9,2017/11/02,25000,75000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,1,,23,101,50,1804,,MASON,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CONSTRUCT ROOF DECK W/ WINDSCREEN & GUARDRAILS & STAIR TO UNIT BELOW.",
#201311222657,1,2013/11/22,2016/11/02,ISSUED,9,2022/11/02,41000000,41000000,,,APARTMENTS,109,2,,,12,1,,77,836,7,1554,,MARKET,ST,,,"ROBERT ALAN",BUCKNER,4156212370,"FULL POWER CONSTRUCTION INC",1426,"FILLMORE ST STE 213",,"SAN FRANCISCO",CA,94115-0000,,,"ERECT 12-STORY  1 BASEMENT  RESIDENTIAL  RETAIL & PARKING BUILDING. MAHER ORDINANCE APPLIES.",
#201401106050,8,2014/01/10,2016/11/03,ISSUED,9,2017/11/03,48000,48000,APARTMENTS,3,APARTMENTS,3,2,,3,3,1,,7,6511,53,1187,,DOLORES,ST,0,,VINCENT,MASH,4156909424,"V MASH CONSTRUCTION",1541,KIRKWOOD,AV,"SAN FRANCISCO",CA,94124-0000,,,"CONVERTING 1ST FLOOR STORAGE AREA INTO LIVING ROOM  INSTALLING STAIRCASE  & BATHROOM IN  UNIT 1187 #1",
#201402078043,3,2014/02/07,2016/11/03,ISSUED,9,2018/11/03,236000,725000,"1 FAMILY DWELLING",1,APARTMENTS,3,2,Y,2,3,2,,19,1732,37,1236,,19TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"HORIZ'L & VERT ADDITION. CONVERT SINGLE FAM RESIDENCE INTO 4 UNITS  ADD 3RD FLOOR & REAR YARD ADDITION. EACH UNIT HAS 1 KITCHEN  2 BATHRMS & 3 BEDRMS  LOWER UNIT HAS ONLY 2 BEDRMS  (NEW 1/F UNIT 1: 2 BEDRM/1 KITCH  UNIT 2 2/F : 3 BEDRM  2 BATHRM/1 KITCHEN; UNIT 3 (3/F: 3 BEDRMS/2 BATHRM  1 KITCHEN)",
#201404213709,3,2014/04/21,2016/11/21,ISSUED,9,2017/11/21,50000,74640,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,2,1,,19,2022,19,1778,,28TH,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"2 STORY HORIZONTAL ADDITION @ REAR OF BUIDLING. 3 BEDROOMS.",
#201407030434,3,2014/07/03,2016/11/07,ISSUED,9,2018/11/07,49000,500000,"WAREHOUSE  FURNITURE",,OFFICE,,2,Y,2,3,1,,17,4811,11,1350,,"VAN DYKE",AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL TENANT SUITE INCLUDING DEMOLITION & CONSTRUCTION CONVERT (E) GROUND FLOOR FROM STORAGE TO PARKING GARAGE CONSTRUCT 2ND FLOOR FOR STORAGE  AND CONSTRUCT NEW 3RD FLOOR VERTICAL ADDITON FOR STORAGE AND OFFICE. NEW STAIR & ELEVATOR. MAHER-COMPLIANCE WITH ORDINANCE NO.155.13 NOT REQUIRED.",
#201407231933,3,2014/07/23,2016/11/01,ISSUED,9,2018/11/01,645000,645000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,21,6504,29,55,,HOMESTEAD,ST,,,"EWEN NEIL",UTTING,4156083936,"EWEN UTTING INC.",369,"DUNCAN ST",,"SAN FRANCISCO",CA,94114-0000,,,"REMODEL (E) RESIDENCE: VERTICAL & HORIZONTAL ADDITION:1) RAISE (E) BLDG +- 9'-0"". 2) ADD ONE STORY & ONE BASEMENT BELOW. 3) ADD ONE STORY ABOVE BLDG. ADD 3 BEDROOMS & 3 1/2 BATHROOMS.",
#201408123674,2,2014/08/12,2016/11/28,ISSUED,9,2018/11/28,737700,953600,,,"1 FAMILY DWELLING",1,2,,,4,1,,18,155,20,1364,,PACIFIC,AV,0,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 4 STORIES  1 BASEMENT  SINGLE FAMILY RESIDENTIAL & BUSINESS.",
