"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#201112090400,1,2011/12/09,2015/10/30,ISSUED,9,2021/10/30,126500000,138534889,,,OFFICE,,2,,,10,2,,84,694,10,1100,,"VAN NESS",AV,,,SCOTT,MORRISON,4158509511,"CHARLES PANKOW BUILDERS LTD",221,MAIN,ST,"SAN FRANCISCO",CA,94105-0000,,,"TO ERECT NEW 10 STORIES  5.5 BASEMENT  MEDICAL OFFICE  RETAIL & PARKING BUILDING PER 2010 BUILDING CODE. SEE CONSTRUCTION PLAN FOR ADDENDUM SCHEDULE-",
#201302281195,3,2013/02/28,2015/10/09,ISSUED,9,2016/10/09,45000,45000,"TOURIST HOTEL/MOTEL",164,"TOURIST HOTEL/MOTEL",164,2,,6,6,6,,34,327,12,100,,POWELL,ST,,,"OVERLAND CONTRACTING",,6502814675,"OVERLAND CONTRACTING INC",600,"NGREENFIELD PKWY",,GARNER,NC,27529-0000,,,"REMOVE (3)(E)SPRINT ANTENNAS  INSTALL (3) (N) ANTENNAS IN NEW RADOMES ADD  (6) RRUS  SWAP (1)GPS ANTENNA. REPLACE (3)(E) EQUIPMENT CABINETS WITH (2) CABINETS IN BASEMENT.",
#201303293381,3,2013/03/29,2015/10/02,ISSUED,9,2016/10/02,140000,178484,"PRKNG GARAGE/PRIVATE",0,"1 FAMILY DWELLING",1,2,Y,1,2,1,,13,5721,77,349,,RICHLAND,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"FRONT BUILDING VERTICAL ADDITION AND REMODEL OF EXISTING GARAGE AND CONVERT STORAGE AREA AT FRONT OF PROPERTY INTO RESIDENTIAL SINGLE FAMILY DWELLING.",
#201306129361,3,2013/06/12,2015/10/06,ISSUED,9,2016/10/06,20000,55000,APARTMENTS,3,APARTMENTS,3,2,,3,3,3,,5,128,22,902,,VALLEJO,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REPLACE EXISTING ROOF DECK WITH NEW ROOF DECK 790 SQ FT.",
#201306129361,3,2013/06/12,2015/10/06,ISSUED,9,2016/10/06,20000,55000,APARTMENTS,3,APARTMENTS,3,2,,3,3,3,,5,128,22,906,,VALLEJO,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REPLACE EXISTING ROOF DECK WITH NEW ROOF DECK 790 SQ FT.",
#201306260587,3,2013/06/26,2015/10/29,ISSUED,9,2016/02/29,1,1,OFFICE,,OFFICE,,2,,4,4,0,,13,3785,002A,410,,TOWNSEND,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"THIS PERMIT SUBMITTED FOR RECORD PURPOSES ONLY; NO WORK DONE - CHANGE OF USE PER WESTERN SOMA REZONING.",
#201307151824,2,2013/07/15,2015/10/27,ISSUED,9,2017/10/27,590000,728000,,,"1 FAMILY DWELLING",1,2,,,3,,,15,2038A,46,1762,,12TH,AV,,,LEON,KEMEL,5108361300,"A B J CONSTRUCTION",1616,"FRANKLIN  ST",,OAKLAND,CA,94612-0000,,,"ERECT 3-STORY  TYPE 5  SINGLE FAMILY RESIDENCE.",
#201308093953,3,2013/08/09,2015/10/28,ISSUED,9,2016/10/28,40000,40000,OFFICE,,OFFICE,,2,,8,8,1,,17,3748,12,434,,HARRISON,ST,,,"L.D. STROBEL CO LTD",,9256863241,"L.D. STROBEL CO LTD",1022,"SHARY CIRCLE",,CONCORD,CA,94522-0000,,,"REMOVE (3) EXISTING VERIZON WIRELESS PANEL ANTENNAS.INSTALL (3) NEW VERIZON WIRELESS PANEL ANTENNAS.(3) EXISTING PANEL ANTENNAS TO HAVE NEW FREQUENCY. (3)NEW  RRUS12. (2) NEW RAYCAP SURGE PROTECTOR. (1) NEW HYBRID CABLE.(2) NEW HOMERUN RET CABLE.",
#201309035862,8,2013/09/03,2015/10/16,ISSUED,9,2016/10/16,20000,37000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,12,3090,35,267,,MANGELS,AV,,,PAVEL,ASADOV,4153688906,"ZEUS CONSTRUCTION CORP.",6,"JOHN PAPAN",CT,"DALY CITY",CA,94015-0000,,,"CONSTRUCTION A NEW FAMILY ROOM AND A NEW TOILET ROOM AT LEVEL BELOW FIRST FLOOR. REMOVE (E) ROTTEN WOOD STAIR @ REAR.",
#201309308119,2,2013/09/30,2015/10/05,ISSUED,9,2017/10/05,550000,1090000,,,"WORKSHOP COMMERCIAL",1,2,,,2,0,,18,5237,13,1375,,EVANS,AV,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ERECT 2-STORY  TYPE 5  WORKSHOP COMMERCIAL AND 1 DWELLING UNIT BUILDING. N/A FOR MAHER ORDINANCE NO. 155-13.",
